Index,year,exposure,business.type,driver.age,driver.gender,marital.status,yrs.licensed,ncd.level,region,body.code,vehicle.age,vehicle.value,no.seats,cubic.cent,horse.power,weight,length,width,height,fuel.type,prior.claims,claim.count,claim.incurred
46,2016,0.25,NB,32,Male,Married,1,1,3,D,4,16.8,2,1399,68,1090,3.917,1.683,1.463,Diesel,0,0,0
47,2016,0.833333333,NB,54,Male,Divorced,1,5,3,D,1,26,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
48,2015,0.25,NB,54,Male,Divorced,1,5,3,D,1,26,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
49,2015,0.833333333,NB,35,Male,Married,2,4,8,D,3,17.2,2,1867,71,1175,4.137,1.724,1.819,Diesel,3,1,111.32
50,2016,0.25,NB,35,Male,Married,2,4,8,D,3,17.2,2,1867,71,1175,4.137,1.724,1.819,Diesel,3,0,0
51,2015,0.833333333,RB,40,Male,Married,5,4,3,A,5,16.2,5,1867,71,1240,4.137,1.724,1.819,Diesel,4,0,0
52,2015,0.25,RB,40,Male,Married,5,4,3,A,5,16.2,5,1867,71,1240,4.137,1.724,1.819,Diesel,4,0,0
53,2016,0.833333333,NB,48,Male,Married,3,4,3,A,9,10,5,1390,75,1065,3.995,1.663,1.827,Gasoline,1,0,0
54,2015,0.25,NB,48,Male,Married,3,4,3,A,9,10,5,1390,75,1065,3.995,1.663,1.827,Gasoline,1,0,0
55,2016,0.833333333,NB,25,Male,Married,2,1,3,E,5,18.5,6,2402,100,1875,4.863,1.974,2.07,Diesel,0,0,0
56,2015,0.25,NB,25,Male,Married,2,1,3,E,5,18.5,6,2402,100,1875,4.863,1.974,2.07,Diesel,0,0,0
57,2015,0.833333333,NB,28,Male,Married,2,3,3,A,1,32.5,5,1753,110,1485,4.278,1.795,1.739,Diesel,1,0,0
58,2016,0.25,NB,28,Male,Married,2,3,3,A,1,32.5,5,1753,110,1485,4.278,1.795,1.739,Diesel,1,0,0
59,2015,0.833333333,NB,41,Male,Married,4,5,3,A,3,22.5,5,1248,70,1285,4.322,1.684,1.801,Diesel,0,0,0
60,2016,0.25,NB,41,Male,Married,4,5,3,A,3,22.5,5,1248,70,1285,4.322,1.684,1.801,Diesel,0,0,0
61,2015,0.833333333,NB,26,Male,Married,1,1,3,E,3,17.475,5,1248,75,1320,4.253,1.722,1.831,Diesel,0,0,0
62,2016,0.25,NB,26,Male,Married,1,1,3,E,3,17.475,5,1248,75,1320,4.253,1.722,1.831,Diesel,0,0,0
63,2015,0.833333333,NB,63,Male,Married,4,6,28,A,4,22.5,5,1248,70,1285,4.322,1.684,1.801,Diesel,0,0,0
64,2016,0.25,NB,63,Male,Married,4,6,28,A,4,22.5,5,1248,70,1285,4.322,1.684,1.801,Diesel,0,0,0
65,2016,0.833333333,NB,35,Male,Married,1,5,21,D,6,13.285,2,1910,105,1310,4.159,1.714,1.82,Diesel,0,0,0
66,2015,0.25,NB,35,Male,Married,1,5,21,D,6,13.285,2,1910,105,1310,4.159,1.714,1.82,Diesel,0,0,0
67,2016,0.833333333,NB,54,Male,Divorced,1,1,3,D,1,26,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
68,2015,0.25,NB,54,Male,Divorced,1,1,3,D,1,26,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
69,2015,0.833333333,RB,44,Male,Married,4,5,3,G,8,13.8,6,2402,90,1883,5.201,1.974,2.343,Diesel,3,1,488.89
70,2015,0.25,RB,44,Male,Married,4,5,3,G,8,13.8,6,2402,90,1883,5.201,1.974,2.343,Diesel,3,0,0
71,2016,0.75,RB,32,Female,Married,2,3,3,D,4,18,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
72,2015,0.333333333,RB,32,Female,Married,2,3,3,D,4,18,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
73,2016,0.833333333,NB,39,Male,Married,1,1,17,D,3,21,2,1461,85,1080,4.035,1.663,1.845,Diesel,0,0,0
74,2015,0.25,NB,39,Male,Married,1,1,17,D,3,21,2,1461,85,1080,4.035,1.663,1.845,Diesel,0,0,0
75,2016,0.833333333,NB,27,Male,Single,1,1,34,E,4,20.33,5,1910,105,1330,4.253,1.722,1.831,Diesel,0,0,0
76,2015,0.25,NB,27,Male,Single,1,1,34,E,4,20.33,5,1910,105,1330,4.253,1.722,1.831,Diesel,0,0,0
77,2016,0.833333333,RB,49,Male,Married,3,6,28,D,6,13.585,2,1910,105,1310,4.159,1.714,1.82,Diesel,0,0,0
78,2015,0.25,RB,49,Male,Married,3,6,28,D,6,13.585,2,1910,105,1310,4.159,1.714,1.82,Diesel,0,0,0
79,2015,0.833333333,NB,39,Male,Married,2,3,28,A,1,19.25,5,1461,70,1205,4.45,1.993,1.64,Diesel,0,0,0
80,2016,0.25,NB,39,Male,Married,2,3,28,A,1,19.25,5,1461,70,1205,4.45,1.993,1.64,Diesel,0,0,0
81,2016,0.833333333,NB,46,Male,Married,1,1,3,D,2,23.2,2,1461,85,1130,4.035,1.672,1.825,Diesel,0,0,0
82,2015,0.25,NB,46,Male,Married,1,1,3,D,2,23.2,2,1461,85,1130,4.035,1.672,1.825,Diesel,0,0,0
83,2016,0.25,NB,49,Male,Married,3,6,28,G,6,29.003,6,1896,105,1815,5.29,1.904,1.959,Diesel,0,0,0
84,2015,0.583333333,RB,49,Male,Married,3,6,28,D,6,13.585,2,1910,105,1310,4.159,1.714,1.82,Diesel,0,0,0
85,2016,0.25,NB,49,Male,Married,3,6,28,G,6,29.003,6,1896,105,1815,5.29,1.904,1.959,Diesel,0,0,0
86,2015,0.75,RB,51,Male,Married,5,5,3,B,4,17.7,3,2476,94,1670,4.795,1.74,1.965,Diesel,1,0,0
87,2016,0.333333333,RB,51,Male,Married,5,5,3,B,4,17.7,3,2476,94,1670,4.795,1.74,1.965,Diesel,1,0,0
88,2016,0.75,RB,68,Male,Married,2,4,3,D,3,20.3,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
89,2015,0.333333333,RB,68,Male,Married,2,4,3,D,3,20.3,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
90,2015,0.083333333,NB,45,Male,Married,1,1,3,D,0,36.7,2,1598,105,1370,4.74,1.832,1.88,Diesel,0,0,0
91,2016,0.833333333,NB,45,Male,Married,1,1,3,A,0,38.15,5,1598,105,1420,4.39,1.832,1.845,Diesel,0,0,0
92,2015,0.25,NB,45,Male,Married,1,1,3,A,0,38.15,5,1598,105,1420,4.39,1.832,1.845,Diesel,0,0,0
93,2016,0.833333333,NB,35,Male,Married,1,1,3,A,5,17.85,5,1753,90,1485,4.297,1.795,1.814,Diesel,0,0,0
94,2015,0.25,NB,35,Male,Married,1,1,3,A,5,17.85,5,1753,90,1485,4.297,1.795,1.814,Diesel,0,0,0
95,2016,0.75,NB,42,Male,Single,5,3,3,E,4,16,5,1248,75,1320,4.253,1.722,1.831,Diesel,2,0,0
96,2015,0.333333333,NB,42,Male,Single,5,3,3,E,4,16,5,1248,75,1320,4.253,1.722,1.831,Diesel,2,0,0
97,2015,0.75,RB,30,Female,Single,4,5,3,E,3,17.475,5,1248,75,1320,4.253,1.722,1.831,Diesel,1,1,172.03
98,2016,0.333333333,RB,30,Female,Single,4,5,3,E,3,17.475,5,1248,75,1320,4.253,1.722,1.831,Diesel,1,0,0
99,2016,0.75,RB,66,Male,Married,2,3,3,D,6,14.1,2,1868,70,1163,4.137,1.724,1.815,Diesel,0,0,0
100,2015,0.333333333,RB,66,Male,Married,2,3,3,D,6,14.1,2,1868,70,1163,4.137,1.724,1.815,Diesel,0,0,0
101,2016,0.75,RB,68,Male,Married,2,5,3,D,3,20.3,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
102,2015,0.333333333,RB,68,Male,Married,2,5,3,D,3,20.3,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
103,2016,0.75,RB,50,Male,Single,4,4,3,D,4,15.7,3,2476,100,1890,5.035,1.82,1.98,Diesel,3,0,0
104,2015,0.333333333,RB,50,Male,Single,4,4,3,D,4,15.7,3,2476,100,1890,5.035,1.82,1.98,Diesel,3,0,0
105,2015,0.75,RB,40,Male,Married,5,6,28,D,6,15.85,2,1753,75,1400,4.278,1.795,1.739,Diesel,0,0,0
106,2016,0.333333333,RB,40,Male,Married,5,6,28,D,6,15.85,2,1753,75,1400,4.278,1.795,1.739,Diesel,0,0,0
107,2016,0.75,RB,44,Male,Married,4,5,28,E,4,16.25,5,1248,75,1320,4.253,1.722,1.831,Diesel,0,0,0
108,2015,0.333333333,RB,44,Male,Married,4,5,28,E,4,16.25,5,1248,75,1320,4.253,1.722,1.831,Diesel,0,0,0
109,2015,0.833333333,NB,34,Male,Married,1,1,3,E,0,27.37,2,1248,75,1190,3.864,1.716,1.721,Diesel,0,1,68.01
110,2015,0.083333333,NB,34,Male,Married,1,1,3,E,0,27.37,2,1248,75,1190,3.864,1.716,1.721,Diesel,0,0,0
111,2015,0.75,RB,76,Male,Divorced,2,3,3,C,11,15.8,4,2446,79,1405,4.725,1.69,1.64,Diesel,1,0,0
112,2016,0.333333333,RB,76,Male,Divorced,2,3,3,C,11,15.8,4,2446,79,1405,4.725,1.69,1.64,Diesel,1,0,0
113,2015,0.75,RB,49,Male,Married,2,5,22,G,4,26.2,3,1870,100,1903,5.182,1.904,1.958,Diesel,0,0,0
114,2016,0.333333333,RB,49,Male,Married,2,5,22,G,4,26.2,3,1870,100,1903,5.182,1.904,1.958,Diesel,0,0,0
115,2015,0.75,RB,48,Male,Married,6,6,3,D,7,11.305,2,1910,63,1280,4.159,1.714,1.82,Diesel,0,0,0
116,2015,0.333333333,RB,48,Male,Married,6,6,3,D,7,11.305,2,1910,63,1280,4.159,1.714,1.82,Diesel,0,0,0
117,2015,0.666666667,NB,28,Male,Married,4,1,3,D,5,12.7,2,1398,68,974,3.822,1.673,1.435,Diesel,2,0,0
118,2016,0.416666667,NB,28,Male,Married,4,1,3,D,5,12.7,2,1398,68,974,3.822,1.673,1.435,Diesel,2,1,58.47
119,2016,0.75,NB,59,Male,Married,2,3,3,A,1,23.75,4,1398,70,1090,3.864,1.816,1.721,Diesel,1,0,0
120,2015,0.333333333,NB,59,Male,Married,2,3,3,A,1,23.75,4,1398,70,1090,3.864,1.816,1.721,Diesel,1,0,0
121,2015,0.75,RB,64,Male,Married,5,6,3,A,5,16.95,5,1753,75,1485,4.297,1.795,1.814,Diesel,0,0,0
122,2015,0.333333333,RB,64,Male,Married,5,6,3,A,5,16.95,5,1753,75,1485,4.297,1.795,1.814,Diesel,0,0,0
123,2016,0.75,RB,66,Male,Married,5,5,3,A,2,22.25,5,1753,75,1485,4.297,1.795,1.814,Diesel,2,0,0
124,2015,0.333333333,RB,66,Male,Married,5,5,3,A,2,22.25,5,1753,75,1485,4.297,1.795,1.814,Diesel,2,0,0
125,2016,0.75,NB,54,Male,Married,1,1,21,D,4,15.8,2,1868,70,1175,4.137,1.724,1.815,Diesel,0,0,0
126,2015,0.333333333,NB,54,Male,Married,1,1,21,D,4,15.8,2,1868,70,1175,4.137,1.724,1.815,Diesel,0,0,0
127,2015,0.75,NB,51,Male,Married,3,1,10,D,4,14.45,2,1461,70,1075,4.035,1.663,1.845,Diesel,1,0,0
128,2016,0.333333333,NB,51,Male,Married,3,1,10,D,4,14.45,2,1461,70,1075,4.035,1.663,1.845,Diesel,1,0,0
129,2015,0.75,RB,47,Male,Married,2,3,3,E,1,25.75,5,1248,75,1320,4.253,1.722,1.831,Diesel,0,0,0
130,2016,0.333333333,RB,47,Male,Married,2,3,3,E,1,25.75,5,1248,75,1320,4.253,1.722,1.831,Diesel,0,0,0
131,2015,0.75,NB,37,Male,Divorced,3,1,38,E,2,24.35,5,1248,75,1320,4.253,1.722,1.831,Diesel,0,0,0
132,2016,0.333333333,NB,37,Male,Divorced,3,1,38,E,2,24.35,5,1248,75,1320,4.253,1.722,1.831,Diesel,0,0,0
133,2016,0.75,NB,49,Male,Married,1,1,3,E,0,33.1,6,2402,100,1875,4.863,1.974,2.07,Diesel,0,0,0
134,2015,0.333333333,NB,49,Male,Married,1,1,3,E,0,33.1,6,2402,100,1875,4.863,1.974,2.07,Diesel,0,0,0
135,2016,0.75,NB,41,Male,Married,2,1,3,A,1,27.8,5,1560,90,1422,4.38,2.112,1.875,Diesel,1,0,0
136,2015,0.333333333,NB,41,Male,Married,2,1,3,A,1,27.8,5,1560,90,1422,4.38,2.112,1.875,Diesel,1,1,43.36
137,2015,0.75,NB,50,Male,Married,4,5,38,C,5,20.2,5,2499,143,1802,5.012,1.75,1.74,Diesel,3,0,0
138,2016,0.333333333,NB,50,Male,Married,4,5,38,C,5,20.2,5,2499,143,1802,5.012,1.75,1.74,Diesel,3,0,0
139,2015,0.666666667,RB,64,Male,Married,4,6,3,D,3,20.1,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
140,2016,0.416666667,RB,64,Male,Married,4,6,3,D,3,20.1,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
141,2015,0.75,NB,34,Male,Married,1,1,21,C,2,28.7,5,2499,143,1765,5.012,1.75,1.74,Diesel,0,1,1170
142,2016,0.333333333,NB,34,Male,Married,1,1,21,C,2,28.7,5,2499,143,1765,5.012,1.75,1.74,Diesel,0,0,0
143,2016,0.666666667,RB,49,Male,Married,3,4,3,E,3,19.9,2,1868,70,1175,4.137,1.724,1.815,Diesel,0,0,0
144,2015,0.416666667,RB,49,Male,Married,3,4,3,E,3,19.9,2,1868,70,1175,4.137,1.724,1.815,Diesel,0,0,0
145,2016,0.75,NB,32,Male,Married,1,1,3,E,6,13.9,2,1910,100,1310,4.159,1.714,1.82,Diesel,0,1,1779.12
146,2015,0.333333333,NB,32,Male,Married,1,1,3,E,6,13.9,2,1910,100,1310,4.159,1.714,1.82,Diesel,0,0,0
147,2016,0.75,NB,48,Male,Married,2,3,21,D,4,17.8,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
148,2015,0.333333333,NB,48,Male,Married,2,3,21,D,4,17.8,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
149,2015,0.75,NB,39,Male,Married,1,1,3,D,4,17.35,2,1753,75,1400,4.278,1.795,1.739,Diesel,0,0,0
150,2015,0.333333333,NB,39,Male,Married,1,1,3,D,4,17.35,2,1753,75,1400,4.278,1.795,1.739,Diesel,0,1,364.27
151,2015,0.75,NB,41,Male,Married,4,3,3,E,6,15.1,2,1868,70,1175,4.137,1.724,1.815,Diesel,2,0,0
152,2016,0.333333333,NB,41,Male,Married,4,3,3,D,6,12,2,1753,75,1440,4.297,1.795,1.814,Diesel,2,0,0
153,2015,0.083333333,NB,41,Male,Married,4,3,3,E,6,15.1,2,1868,70,1175,4.137,1.724,1.815,Diesel,2,0,0
154,2016,0.75,RB,38,Male,Married,2,3,28,E,1,26,2,1248,75,1190,3.864,1.716,1.721,Diesel,0,0,0
155,2015,0.333333333,RB,38,Male,Married,2,3,28,E,1,26,2,1248,75,1190,3.864,1.716,1.721,Diesel,0,0,0
156,2016,0.666666667,NB,49,Male,Married,2,3,32,D,4,14.45,2,1461,70,1075,4.035,1.663,1.845,Diesel,0,0,0
157,2015,0.416666667,NB,49,Male,Married,2,3,32,D,4,14.45,2,1461,70,1075,4.035,1.663,1.845,Diesel,0,0,0
158,2016,0.75,NB,61,Male,Married,1,1,3,C,3,60.9,5,2488,171,2053,5.22,1.85,1.886,Diesel,0,0,0
159,2015,0.333333333,NB,61,Male,Married,1,1,3,C,3,60.9,5,2488,171,2053,5.22,1.85,1.886,Diesel,0,0,0
160,2016,0.75,NB,61,Male,Married,1,1,3,C,6,20.6,5,2488,133,1665,5.09,1.825,1.83,Diesel,0,0,0
161,2015,0.333333333,NB,61,Male,Married,1,1,3,C,6,20.6,5,2488,133,1665,5.09,1.825,1.83,Diesel,0,0,0
162,2016,0.666666667,NB,44,Female,Married,2,6,3,D,4,17.75,2,1753,75,1440,4.297,1.795,1.814,Diesel,1,0,0
163,2015,0.416666667,NB,44,Female,Married,2,6,3,D,4,17.75,2,1753,75,1440,4.297,1.795,1.814,Diesel,1,0,0
164,2015,0.666666667,RB,63,Male,Married,5,6,3,E,5,14.4,5,1248,75,1320,4.253,1.722,1.831,Diesel,1,0,0
165,2016,0.416666667,RB,63,Male,Married,5,6,3,E,5,14.4,5,1248,75,1320,4.253,1.722,1.831,Diesel,1,0,0
166,2015,0.666666667,NB,35,Male,Married,1,1,3,D,3,16.85,2,1461,70,1075,4.035,1.663,1.845,Diesel,0,0,0
167,2016,0.416666667,NB,35,Male,Married,1,1,3,D,3,16.85,2,1461,70,1075,4.035,1.663,1.845,Diesel,0,1,229.7
168,2015,0.666666667,NB,37,Male,Married,2,3,3,A,1,24.5,5,1248,90,1350,4.39,1.832,1.845,Diesel,0,0,0
169,2016,0.416666667,NB,37,Male,Married,2,3,3,A,1,24.5,5,1248,90,1350,4.39,1.832,1.845,Diesel,0,0,0
170,2015,0.666666667,RB,50,Male,Married,3,4,3,A,9,10.6,5,1870,65,1110,3.995,1.663,1.827,Diesel,1,0,0
171,2016,0.416666667,RB,50,Male,Married,3,4,3,A,9,10.6,5,1870,65,1110,3.995,1.663,1.827,Diesel,1,0,0
172,2015,0.666666667,NB,40,Male,Married,2,3,3,A,1,37.15,5,1896,105,1446,4.405,1.802,1.833,Diesel,0,0,0
173,2016,0.416666667,NB,40,Male,Married,2,3,3,A,1,37.15,5,1896,105,1446,4.405,1.802,1.833,Diesel,0,0,0
174,2015,0.666666667,NB,31,Female,Divorced,2,3,3,A,1,35.3,5,1896,105,1446,4.405,1.802,1.833,Diesel,0,0,0
175,2016,0.416666667,NB,31,Female,Divorced,2,3,3,A,1,35.3,5,1896,105,1446,4.405,1.802,1.833,Diesel,0,0,0
176,2015,0.666666667,RB,27,Female,Married,3,4,3,D,5,12.2,2,1248,70,1040,3.764,1.618,1.456,Diesel,1,0,0
177,2015,0.416666667,RB,27,Female,Married,3,4,3,D,5,12.2,2,1248,70,1040,3.764,1.618,1.456,Diesel,1,0,0
178,2016,0.666666667,RB,47,Male,Married,2,4,22,D,4,17.45,2,1461,65,1120,4.035,1.672,1.825,Diesel,2,0,0
179,2015,0.083333333,NB,47,Male,Married,2,4,22,E,0,37.6,5,1461,105,1430,4.213,1.83,1.84,Diesel,2,0,0
180,2016,0.416666667,RB,47,Male,Married,2,4,22,D,4,17.45,2,1461,65,1120,4.035,1.672,1.825,Diesel,2,0,0
181,2015,0.666666667,RB,41,Male,Married,4,6,22,D,4,17.45,2,1461,65,1120,4.035,1.672,1.825,Diesel,1,0,0
182,2016,0.416666667,RB,41,Male,Married,4,6,22,D,4,17.45,2,1461,65,1120,4.035,1.672,1.825,Diesel,1,0,0
183,2016,0.666666667,NB,45,Male,Married,2,1,3,E,0,29.8,2,1867,71,1220,4.137,1.724,1.81,Diesel,3,0,0
184,2015,0.416666667,NB,45,Male,Married,2,1,3,E,0,29.8,2,1867,71,1220,4.137,1.724,1.81,Diesel,3,0,0
185,2016,0.083333333,NB,60,Male,Married,6,6,3,A,0,35.84,5,1560,92,1422,4.38,1.81,1.84,Diesel,0,0,0
186,2015,0.416666667,NB,60,Male,Married,6,6,3,A,0,35.84,5,1560,92,1422,4.38,1.81,1.84,Diesel,0,0,0
187,2016,0.666666667,RB,50,Male,Married,4,6,3,E,6,14.25,5,1910,105,1330,4.253,1.722,1.831,Diesel,1,0,0
188,2015,0.416666667,RB,50,Male,Married,4,6,3,E,6,14.25,5,1910,105,1330,4.253,1.722,1.831,Diesel,1,0,0
189,2016,0.666666667,RB,50,Male,Married,5,6,3,D,7,10.6,2,1870,80,1080,4.035,1.663,1.845,Diesel,0,0,0
190,2015,0.416666667,RB,50,Male,Married,5,6,3,D,7,10.6,2,1870,80,1080,4.035,1.663,1.845,Diesel,0,0,0
191,2015,0.666666667,NB,56,Male,Married,1,1,3,A,0,27.7,5,1560,75,1422,4.38,2.112,1.875,Diesel,0,0,0
192,2016,0.416666667,NB,56,Male,Married,1,1,3,A,0,27.7,5,1560,75,1422,4.38,2.112,1.875,Diesel,0,0,0
193,2015,0.666666667,NB,68,Male,Married,2,1,3,D,0,29.6,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
194,2016,0.416666667,NB,68,Male,Married,2,1,3,D,0,29.6,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
195,2015,0.666666667,RB,52,Male,Married,5,5,32,E,4,19.1,2,1868,70,1175,4.137,1.724,1.815,Diesel,2,0,0
196,2016,0.416666667,RB,52,Male,Married,5,5,32,E,4,19.1,2,1868,70,1175,4.137,1.724,1.815,Diesel,2,0,0
197,2015,0.666666667,RB,56,Male,Married,5,6,3,D,6,13.3,2,1910,105,1310,4.159,1.714,1.82,Diesel,0,0,0
198,2016,0.416666667,RB,56,Male,Married,5,6,3,D,6,13.3,2,1910,105,1310,4.159,1.714,1.82,Diesel,0,0,0
199,2015,0.666666667,NB,41,Female,Married,5,6,3,E,4,22,5,1910,105,1330,4.253,1.722,1.831,Diesel,0,0,0
200,2015,0.416666667,NB,41,Female,Married,5,6,3,E,4,22,5,1910,105,1330,4.253,1.722,1.831,Diesel,0,0,0
201,2015,0.666666667,NB,58,Male,Married,3,4,3,E,2,22.3,5,1248,75,1395,4.633,1.722,1.831,Diesel,3,0,0
